event_id_1pd,date,n_reports,event_ids_matching,sources_matching,source_urls,target_classes,target_terms,attack_terms,geonameid,asciiname,ADM1_NAME,ADM2_NAME,longitude,latitude,location_bucket,location_method,nearest_ru_distance_km,nearest_ru_geonameid,nearest_ru_name,a_ukr_init_field,a_ukr_init,a_ukr_field,a_ukr,a_rus_init_field,a_rus_init,a_rus_field,a_rus,ua_actor_text_terms,ru_scope_text_terms,representative_text,TriageStatus,TriageReason,CandidateCensusComplete
19264,20220224,1,370248,mz,,STRATEGIC_AIRBASE,аэродром,атак|взрыв,688393,Yaseninichi,Rivne,Rivnens'ka,26.251638,50.61992,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны. Валерия «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ». Максим «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое». Инна «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?»",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
206493,20220224,44,147105|147300|370394,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак|взрыв|ракет|удар,706483,Kharkiv,Kharkiv,Kharkivs'ka,36.231202,49.992167,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны.  Валерия  «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ».  Максим  «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое».  Инна  «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?» || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
206518,20220224,1,370247,mz,,STRATEGIC_AIRBASE,аэродром,атак|взрыв,706483,Kharkiv,Kharkiv,Kharkivs'ka,36.231202,49.992167,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Судя по сообщениям из зоны боевых действий, Харьков оказался одним из наиболее пострадавших крупных городов Украины. Вот рассказы нескольких харьковчан, которые застали в городе начало войны. Валерия «Мы проснулись в 5:10 от того что за окном громыхали взрывы, и это продолжалось достаточно долго. Сработали сигнализации машин, проснулся район. Все стали куда-то бежать. У нас так расположен дом, что самих взрывов не видно. Но у людей жуткая паника. Соседи и знакомые ломанулись из города. Много аварий, километровые очереди на заправках. Магазины тоже самое. Мы собрали самые необходимые вещи так и сидим. Со стороны окружной дороги, до сих пор громыхает. Все, кто уехал, стоят в диких пробках и присылают сообщения с месторасположением бомбоубежищ». Максим «Начало? Будоражащим. Ровно в 5:00. Взрывы по разным направлениям в Харькове, из окна были видны зарева работы оружия. Позже стали узнавать из источников, что были атакованы преимущественно военные объекты. Сейчас слышны взрывы до сих пор. Думаю, что в других приграничных областях Украины тоже самое». Инна «С утра, около 5 часов, проснулась от звуков взрыва. Сначала думала, сквозь сон показалось. Но через минут пять повторилось еще три раза. Зашла в интернет, потому что думала схожу с ума. В харьковских группах отписывались, что слышны взрывы. Нашли снаряды в двух районах Харькова. В Чугуеве (муж оттуда) бомбили аэродром, попали в жилой дом. С утра много машин у подъезда разъехались с людьми, некоторые паникуют, некоторые ждут, что будет дальше. Мы на сумках, с документами. Но куда бежать?»",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
206534,20220224,2,2272391,24tvua,https://24tv.ua/hronologiya-1097-dnya-viyni-hariv-atakuvali-kabom-rosiyi-atakuvali_n2760286,REFINING_PETROCHEM_GAS,НПЗ,атак|дрон,706483,Kharkiv,Kharkiv,Kharkivs'ka,36.231202,49.992167,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,,Рязан,"Росія вдарила по Харкову, у Рязані – дрони атакували НПЗ: хронологія 1097 дня війни",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
224770,20220224,3,147328|31061,forbesua|mz,https://forbes.ua/news/khronika-viyni-den-pershiy-bitva-za-ukrainu-tilki-perevirena-informatsiya-24022022-3895|https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аеродром|аэродром,атак|ракет,707471,Ivano-Frankivsk,Ivano-Frankivs'k,Ivano-Frankivs'ka,24.711162,48.922677,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,". Військовий аеродром в Івано-франківську піддався ракетному обстрілу, за даними штабу ООС. || Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
224771,20220224,1,1654905,pravdaua,https://www.pravda.com.ua/news/2022/02/24/7325266/,STRATEGIC_AIRBASE,аеродром,вибух,707471,Ivano-Frankivsk,Ivano-Frankivs'k,Ivano-Frankivs'ka,24.711162,48.922677,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,У Франківську після вибухів горить одна з будівель аеродрому.,MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
224772,20220224,1,319175,espreso,https://zahid.espreso.tv/u-frankivsku-prokomentuvali-rankovi-raketni-obstrili-aerodromiv-e-poraneni-62176b75d9736,STRATEGIC_AIRBASE,аеродром,ракет,707471,Ivano-Frankivsk,Ivano-Frankivs'k,Ivano-Frankivs'ka,24.711162,48.922677,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,У Франківську прокоментували ранкові ракетні обстріли аеродромів. Є поранені,MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
228987,20220224,1,31124,forbesua,https://forbes.ua/news/khronika-viyni-den-pershiy-bitva-za-ukrainu-tilki-perevirena-informatsiya-24022022-3895,STRATEGIC_AIRBASE,Аеродром,атак|вибух,708251,Hostomel,Kiev,Kyievo-Sviatoshyns'kyi,30.264853,50.580265,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,,,"Аеродром ГП «Антонов» в смт Гостомель під Києвом атакують з повітря. Чути вибухи і звуки літаків, видно стовп диму. В районі аеродрому літає близько 10 вертольотів, чути потужні вибухи.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
229002,20220224,1,1638380,liga,https://news.liga.net/politics/news/rossiya-atakovala-aerodrom-gostomel-vsu-sbili-tri-vertoleta-rf-idet-boy-mvd,STRATEGIC_AIRBASE,аэродром,атак,708251,Hostomel,Kiev,Kyievo-Sviatoshyns'kyi,30.264853,50.580265,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,1,a_rus_init_b,,a_rus_b,0,ВСУ,,"Россия атаковала аэродром Гостомель. ВСУ сбили три вертолета РФ, идет бой – МВД",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
253944,20220224,2,147303|370397,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,ракет|удар,710715,Chornobaivka,Kherson,Bilozers'kyi,32.545136,46.694826,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
257450,20220224,7,147304|370398,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,ракет|удар,710771,Chorna Dolyna,Kherson,Kakhovs'kyi,33.481729,46.55783,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
269222,20220224,4,147294|370388,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,ракет|удар,711660,Boryspil,Kiev,Boryspil's'ka,30.950743,50.351191,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
276442,20220224,11,164684,nv,https://nv.ua/ukr/allnews.html?page=12,STRATEGIC_AIRBASE,аеродром,ракет|удар,712609,Bilka,Odessa,Ivanivs'kyi,30.405789,46.908223,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,ЗСУ,,Військовий аеродром на Одещині зазнав ракетного удару — ЗСУ,MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
29341,20220224,8,147333,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,атак,689558,Vinnytsya,Vinnytsya,Vinnyts'ka,28.46868,49.232559,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
29344,20220224,1,370427,mz,,STRATEGIC_AIRBASE,аэродром,атак,689558,Vinnytsya,Vinnytsya,Vinnyts'ka,28.46868,49.232559,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,1,Украин,,"Служба по чрезвычайными ситуациям Украины сообщила об атаках на военные объекты на западе: помимо военной части под Ивано-Франковском, это также аэродром в Луцке, часть в Каменке-Бузкой под Львовом, военные склады под Черкассами и Житомиром. Журналисты сообщают о стрельбе под Винницей.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
3033,20220224,2,147298|370392,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,ракет|удар,687184,Kryvorizhzhya,Mykolayiv,Novoodes'kyi,31.767249,47.394622,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
317803,20220224,4,147296|370390,mz,https://zona.media/online/2022/02/24/war,STRATEGIC_AIRBASE,аэродром,ракет|удар,8465680,Danylivka,Zhytomyr,Volodars'ko-Volyns'kyi,28.475831,50.639633,DROP,DROP_LOCATION_NOT_RU,,,,a_ukr_init_b,,a_ukr_b,0,a_rus_init_b,,a_rus_b,0,Силы оборон|Украин,,"В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком.   Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область).  «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе. || В сводке генштаба вооруженных сил Украины говорится, что информация о российском десанте в Одессе является фейком. Также штаб сообщает, что ракетно-бомбовые удары были нанесены по аэродромам в Борисполе (Киевская область), Озерном (Житомирская область), Кульбакине (Николаевская область), Чугуеве (Харьковская область), Краматорске (Донецкая область), Чернобаевке (Херсонская область). «Силы обороны государства находятся в полной боевой готовности, заняты и сохраняют оборонительные позиции. Ситуация под контролем», — уверяют в украинском штабе.",MACHINE_NONCANDIDATE,NO_RU_GEO_OR_UA_ACTOR_PLUS_RU_SCOPE_TEXT,FALSE
